rolname,query,calls,total_time,prop_total_time
postgres,"INSERT INTO google_reviews (
                                clinic_id, author_name, rating, text, 
                                relative_time_description, created_at, is_active
                            ) VALUES ($1, $2, $3, $4, $5, NOW(), $6)",7673,1030.464745,1.2%
postgres,"UPDATE banner_slides SET updated_at=$1::timestamp, impression_count=$2 WHERE banner_slides.id = $3",8265,908.687987999995,1.0%
authenticator,"WITH
    pks_uniques_cols AS (
      SELECT
        connamespace,
        conrelid,
        jsonb_agg(column_info.cols) as cols
      FROM pg_constraint
      JOIN lateral (
        SELECT array_agg(cols.attname order by cols.attnum) as cols
        FROM ( select unnest(conkey) as col) _
        JOIN pg_attribute cols on cols.attrelid = conrelid and cols.attnum = col
      ) column_info ON $1
      WHERE
        contype IN ($2, $3) and
        connamespace::regnamespace::text <> $4
      GROUP BY connamespace, conrelid
    )
    SELECT
      ns1.nspname AS table_schema,
      tab.relname AS table_name,
      ns2.nspname AS foreign_table_schema,
      other.relname AS foreign_table_name,
      (ns1.nspname, tab.relname) = (ns2.nspname, other.relname) AS is_self,
      traint.conname  AS constraint_name,
      column_info.cols_and_fcols,
      (column_info.cols IN (SELECT * FROM jsonb_array_elements(pks_uqs.cols))) AS one_to_one
    FROM pg_constraint traint
    JOIN LATERAL (
      SELECT
        array_agg(row(cols.attname, refs.attname) order by ord) AS cols_and_fcols,
        jsonb_agg(cols.attname order by cols.attnum) AS cols
      FROM unnest(traint.conkey, traint.confkey) WITH ORDINALITY AS _(col, ref, ord)
      JOIN pg_attribute cols ON cols.attrelid = traint.conrelid AND cols.attnum = col
      JOIN pg_attribute refs ON refs.attrelid = traint.confrelid AND refs.attnum = ref
    ) AS column_info ON $5
    JOIN pg_namespace ns1 ON ns1.oid = traint.connamespace
    JOIN pg_class tab ON tab.oid = traint.conrelid
    JOIN pg_class other ON other.oid = traint.confrelid
    JOIN pg_namespace ns2 ON ns2.oid = other.relnamespace
    LEFT JOIN pks_uniques_cols pks_uqs ON pks_uqs.connamespace = traint.connamespace AND pks_uqs.conrelid = traint.conrelid
    WHERE traint.contype = $6
   and traint.conparentid = $7 ORDER BY traint.conrelid, traint.conname",172,882.779411,1.0%
postgres,"SELECT procedures.id AS procedures_id, procedures.procedure_name AS procedures_procedure_name, procedures.alternative_names AS procedures_alternative_names, procedures.short_description AS procedures_short_description, procedures.overview AS procedures_overview, procedures.procedure_details AS procedures_procedure_details, procedures.ideal_candidates AS procedures_ideal_candidates, procedures.recovery_process AS procedures_recovery_process, procedures.recovery_time AS procedures_recovery_time, procedures.procedure_duration AS procedures_procedure_duration, procedures.hospital_stay_required AS procedures_hospital_stay_required, procedures.results_duration AS procedures_results_duration, procedures.min_cost AS procedures_min_cost, procedures.max_cost AS procedures_max_cost, procedures.benefits AS procedures_benefits, procedures.benefits_detailed AS procedures_benefits_detailed, procedures.risks AS procedures_risks, procedures.procedure_types AS procedures_procedure_types, procedures.alternative_procedures AS procedures_alternative_procedures, procedures.category_id AS procedures_category_id, procedures.popularity_score AS procedures_popularity_score, procedures.avg_rating AS procedures_avg_rating, procedures.review_count AS procedures_review_count, procedures.is_featured AS procedures_is_featured, procedures.image_url AS procedures_image_url, procedures.created_at AS procedures_created_at, procedures.updated_at AS procedures_updated_at, procedures.body_part AS procedures_body_part, procedures.tags AS procedures_tags, procedures.body_area AS procedures_body_area, procedures.category_type AS procedures_category_type 
FROM procedures 
WHERE procedures.is_featured = $1 
 LIMIT $2",1950,680.054225,0.8%
postgres,"CREATE TABLE IF NOT EXISTS admin_audit_log (
                id SERIAL PRIMARY KEY,
                admin_user_id INTEGER REFERENCES users(id),
                action_type VARCHAR(100) NOT NULL,
                description TEXT NOT NULL,
                target_id INTEGER,
                metadata JSONB,
                created_at TIMESTAMP DEFAULT NOW(),
                ip_address INET,
                user_agent TEXT
            )",841,628.264401,0.7%
authenticator,"with recursive
      pks_fks as (
        -- pk + fk referencing col
        select
          contype::text as contype,
          conname,
          array_length(conkey, $3) as ncol,
          conrelid as resorigtbl,
          col as resorigcol,
          ord
        from pg_constraint
        left join lateral unnest(conkey) with ordinality as _(col, ord) on $4
        where contype IN ($5, $6)
        union
        -- fk referenced col
        select
          concat(contype, $7) as contype,
          conname,
          array_length(confkey, $8) as ncol,
          confrelid,
          col,
          ord
        from pg_constraint
        left join lateral unnest(confkey) with ordinality as _(col, ord) on $9
        where contype=$10
      ),
      views as (
        select
          c.oid       as view_id,
          n.nspname   as view_schema,
          c.relname   as view_name,
          r.ev_action as view_definition
        from pg_class c
        join pg_namespace n on n.oid = c.relnamespace
        join pg_rewrite r on r.ev_class = c.oid
        where c.relkind in ($11, $12) and n.nspname = ANY($1 || $2)
      ),
      transform_json as (
        select
          view_id, view_schema, view_name,
          -- the following formatting is without indentation on purpose
          -- to allow simple diffs, with less whitespace noise
          replace(
            replace(
            replace(
            replace(
            replace(
            replace(
            replace(
            regexp_replace(
            replace(
            replace(
            replace(
            replace(
            replace(
            replace(
            replace(
            replace(
            replace(
            replace(
            replace(
              view_definition::text,
            -- This conversion to json is heavily optimized for performance.
            -- The general idea is to use as few regexp_replace() calls as possible.
            -- Simple replace() is a lot faster, so we jump through some hoops
            -- to be able to use regexp_replace() only once.
            -- This has been tested against a huge schema with 250+ different views.
            -- The unit tests do NOT reflect all possible inputs. Be careful when changing this!
            -- -----------------------------------------------
            -- pattern           | replacement         | flags
            -- -----------------------------------------------
            -- `<>` in pg_node_tree is the same as `null` in JSON, but due to very poor performance of json_typeof
            -- we need to make this an empty array here to prevent json_array_elements from throwing an error
            -- when the targetList is null.
            -- We'll need to put it first, to make the node protection below work for node lists that start with
            -- null: `(<> ...`, too. This is the case for coldefexprs, when the first column does not have a default value.
               $13              , $14
            -- `,` is not part of the pg_node_tree format, but used in the regex.
            -- This removes all `,` that might be part of column names.
            ), $15               , $16
            -- The same applies for `{` and `}`, although those are used a lot in pg_node_tree.
            -- We remove the escaped ones, which might be part of column names again.
            ), $17            , $18
            ), $19            , $20
            -- The fields we need are formatted as json manually to protect them from the regex.
            ), $21   , $22
            ), $23        , $24
            ), $25   , $26
            ), $27   , $28
            -- Make the regex also match the node type, e.g. `{QUERY ...`, to remove it in one pass.
            ), $29               , $30
            -- Protect node lists, which start with `({` or `((` from the greedy regex.
            -- The extra `{` is removed again later.
            ), $31              , $32
            ), $33              , $34
            -- This regex removes all unused fields to avoid the need to format all of them correctly.
            -- This leads to a smaller json result as well.
            -- Removal stops at `,` for used fields (see above) and `}` for the end of the current node.
            -- Nesting can't be parsed correctly with a regex, so we stop at `{` as well and
            -- add an empty key for the followig node.
            ), $35       , $36              , $37
            -- For performance, the regex also added those empty keys when hitting a `,` or `}`.
            -- Those are removed next.
            ), $38           , $39
            ), $40           , $41
            -- This reverses the ""node list protection"" from above.
            ), $42              , $43
            -- Every key above has been added with a `,` so far. The first key in an object doesn't need it.
            ), $44              , $45
            -- pg_node_tree has `()` around lists, but JSON uses `[]`
            ), $46               , $47
            ), $48               , $49
            -- pg_node_tree has ` ` between list items, but JSON uses `,`
            ), $50             , $51
          )::json as view_definition
        from views
      ),
      target_entries as(
        select
          view_id, view_schema, view_name,
          json_array_elements(view_definition->$52->$53) as entry
        from transform_json
      ),
      results as(
        select
          view_id, view_schema, view_name,
          (entry->>$54)::int as view_column,
          (entry->>$55)::oid as resorigtbl,
          (entry->>$56)::int as resorigcol
        from target_entries
      ),
      -- CYCLE detection according to PG docs: https://www.postgresql.org/docs/current/queries-with.html#QUERIES-WITH-CYCLE
      -- Can be replaced with CYCLE clause once PG v13 is EOL.
      recursion(view_id, view_schema, view_name, view_column, resorigtbl, resorigcol, is_cycle, path) as(
        select
          r.*,
          $57,
          ARRAY[resorigtbl]
        from results r
        where view_schema = ANY ($1)
        union all
        select
          view.view_id,
          view.view_schema,
          view.view_name,
          view.view_column,
          tab.resorigtbl,
          tab.resorigcol,
          tab.resorigtbl = ANY(path),
          path || tab.resorigtbl
        from recursion view
        join results tab on view.resorigtbl=tab.view_id and view.resorigcol=tab.view_column
        where not is_cycle
      ),
      repeated_references as(
        select
          view_id,
          view_schema,
          view_name,
          resorigtbl,
          resorigcol,
          array_agg(attname) as view_columns
        from recursion
        join pg_attribute vcol on vcol.attrelid = view_id and vcol.attnum = view_column
        group by
          view_id,
          view_schema,
          view_name,
          resorigtbl,
          resorigcol
      )
      select
        sch.nspname as table_schema,
        tbl.relname as table_name,
        rep.view_schema,
        rep.view_name,
        pks_fks.conname as constraint_name,
        pks_fks.contype as constraint_type,
        array_agg(row(col.attname, view_columns) order by pks_fks.ord) as column_dependencies
      from repeated_references rep
      join pks_fks using (resorigtbl, resorigcol)
      join pg_class tbl on tbl.oid = rep.resorigtbl
      join pg_attribute col on col.attrelid = tbl.oid and col.attnum = rep.resorigcol
      join pg_namespace sch on sch.oid = tbl.relnamespace
      group by sch.nspname, tbl.relname,  rep.view_schema, rep.view_name, pks_fks.conname, pks_fks.contype, pks_fks.ncol
      -- make sure we only return key for which all columns are referenced in the view - no partial PKs or FKs
      having ncol = array_length(array_agg(row(col.attname, view_columns) order by pks_fks.ord), $58)",172,563.739067,0.6%
postgres,"INSERT INTO users (name, email, password_hash, is_verified, role, created_at)
                                VALUES ($1, $2, $3, $4, $5, NOW()) RETURNING id",3186,533.201693,0.6%
postgres,ANALYZE clinics,2,464.255535,0.5%
postgres,"SELECT
  e.name,
  n.nspname AS schema,
  e.default_version,
  x.extversion AS installed_version,
  e.comment
FROM
  pg_available_extensions() e(name, default_version, comment)
  LEFT JOIN pg_extension x ON e.name = x.extname
  LEFT JOIN pg_namespace n ON x.extnamespace = n.oid",5,460.560502,0.5%
postgres,"SELECT banner_slides.id AS banner_slides_id, banner_slides.banner_id AS banner_slides_banner_id, banner_slides.title AS banner_slides_title, banner_slides.subtitle AS banner_slides_subtitle, banner_slides.image_url AS banner_slides_image_url, banner_slides.redirect_url AS banner_slides_redirect_url, banner_slides.display_order AS banner_slides_display_order, banner_slides.is_active AS banner_slides_is_active, banner_slides.created_at AS banner_slides_created_at, banner_slides.updated_at AS banner_slides_updated_at, banner_slides.click_count AS banner_slides_click_count, banner_slides.impression_count AS banner_slides_impression_count 
FROM banner_slides 
WHERE $1 = banner_slides.banner_id",16546,404.262023000001,0.5%
